"C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.16,0.734678929800881,0.559009009009009,0.770383275261324,0.0460951489195112,0.0861821315135838,0.031441046065271,"L2_Linear_SVM"
0.2,0.731561962659524,0.537687687687688,0.770499419279907,0.0477152969421425,0.0666614247323679,0.034923928946141,"L2_Linear_SVM"
0.3,0.727767924719144,0.537687687687688,0.760859465737515,0.0509438572908288,0.0719319521302516,0.0225862045166378,"L2_Linear_SVM"
1,0.728160739136349,0.537687687687688,0.765621370499419,0.0509839458874006,0.0719319521302516,0.0252182339045716,"L2_Linear_SVM"
0.1,0.697794658770268,0.57042042042042,0.727061556329849,0.0315347532301639,0.0542424561192398,0.0655249412264919,"L2_Linear_SVM"
0.12,0.69807132916889,0.57042042042042,0.71753774680604,0.0307616611352024,0.0765773126031871,0.0625893963002379,"L2_Linear_SVM"
0.13,0.698452982599324,0.55960960960961,0.722415795586527,0.029792443576962,0.0711662610285299,0.0601192562207476,"L2_Linear_SVM"
0.14,0.698053890127061,0.592342342342342,0.703252032520325,0.0307512750999206,0.0508131269039571,0.047111756397901,"L2_Linear_SVM"
0.15,0.698549507695849,0.575975975975976,0.717537746806039,0.0290961889125401,0.0599999699399024,0.0406184543413841,"L2_Linear_SVM"
0.16,0.698420371591103,0.570570570570571,0.717653890824622,0.0290090335234112,0.0703946436620483,0.0428994563062133,"L2_Linear_SVM"
0.2,0.699728386923509,0.570570570570571,0.727177700348432,0.0296844370464957,0.0703946436620483,0.0470497971419635,"L2_Linear_SVM"
0.3,0.700496140740043,0.576126126126126,0.722415795586527,0.0279690323476197,0.0700084635508632,0.0279259350488841,"L2_Linear_SVM"
1,0.700496140740043,0.576126126126126,0.712775842044135,0.0279690323476197,0.0700084635508632,0.0515004109382225,"L2_Linear_SVM"
0.1,0.715841538402514,0.596846846846847,0.718234610917538,0.0651869799020204,0.110038139642397,0.0961152280096016,"L2_Linear_SVM"
0.12,0.714273419761225,0.591441441441442,0.72787456445993,0.0646349700436148,0.112472886288875,0.0903795260988223,"L2_Linear_SVM"
0.13,0.714140272676858,0.596846846846847,0.713472706155633,0.0654474606253591,0.111685371785743,0.0924564020405234,"L2_Linear_SVM"
0.14,0.714921454555601,0.602252252252252,0.703948896631823,0.066707470360754,0.115411172152338,0.106065627689759,"L2_Linear_SVM"
0.15,0.714649754283901,0.591141141141141,0.727758420441347,0.0683216606875802,0.14463169859387,0.0787163890303175,"L2_Linear_SVM"
