"normal","cancer","names","model"
0.58897181194092,0.58897181194092,"Otu00221","L2_Logistic_Regression"
0.587476596629915,0.587476596629915,"Otu00121","L2_Logistic_Regression"
0.586943519866861,0.586943519866861,"Otu00110","L2_Logistic_Regression"
0.779787289369669,0.779787289369669,"fit_result","L2_Logistic_Regression"
0.594835656334512,0.594835656334512,"Otu00058","L2_Logistic_Regression"
0.592326294986478,0.592326294986478,"Otu00185","L2_Logistic_Regression"
0.590089972956106,0.590089972956106,"Otu00002","L2_Logistic_Regression"
0.584863220303724,0.584863220303724,"Otu00044","L2_Logistic_Regression"
0.582041814021219,0.582041814021219,"Otu00128","L2_Logistic_Regression"
0.580494591221136,0.580494591221136,"Otu00110","L2_Logistic_Regression"
0.57868733097566,0.57868733097566,"Otu00822","L2_Logistic_Regression"
